"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector en vermogensklasse: Alle economische activiteit en woningen"
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2024 eerste helft*"
"Aa en Hunze";"Installaties";"aantal";"6868"
"Aa en Hunze";"Opgesteld vermogen van zonnepanelen";"kWp";"47836"
"Aa en Hunze";"Opgesteld vermogen omvormers";"kW";"44977"
"Aa en Hunze";"Productie van zonnestroom";"mln kWh";"."
"Aalsmeer";"Installaties";"aantal";"5933"
"Aalsmeer";"Opgesteld vermogen van zonnepanelen";"kWp";"62944"
"Aalsmeer";"Opgesteld vermogen omvormers";"kW";"52009"
"Aalsmeer";"Productie van zonnestroom";"mln kWh";"."
"Aalten";"Installaties";"aantal";"5479"
"Aalten";"Opgesteld vermogen van zonnepanelen";"kWp";"53466"
"Aalten";"Opgesteld vermogen omvormers";"kW";"46421"
"Aalten";"Productie van zonnestroom";"mln kWh";"."
"Achtkarspelen";"Installaties";"aantal";"5542"
"Achtkarspelen";"Opgesteld vermogen van zonnepanelen";"kWp";"50775"
"Achtkarspelen";"Opgesteld vermogen omvormers";"kW";"44958"
"Achtkarspelen";"Productie van zonnestroom";"mln kWh";"."
"Alblasserdam";"Installaties";"aantal";"2650"
"Alblasserdam";"Opgesteld vermogen van zonnepanelen";"kWp";"23791"
"Alblasserdam";"Opgesteld vermogen omvormers";"kW";"20308"
"Alblasserdam";"Productie van zonnestroom";"mln kWh";"."
"Albrandswaard";"Installaties";"aantal";"4879"
"Albrandswaard";"Opgesteld vermogen van zonnepanelen";"kWp";"27903"
"Albrandswaard";"Opgesteld vermogen omvormers";"kW";"23766"
"Albrandswaard";"Productie van zonnestroom";"mln kWh";"."
"Alkmaar";"Installaties";"aantal";"18947"
"Alkmaar";"Opgesteld vermogen van zonnepanelen";"kWp";"101879"
"Alkmaar";"Opgesteld vermogen omvormers";"kW";"92532"
"Alkmaar";"Productie van zonnestroom";"mln kWh";"."
"Almelo";"Installaties";"aantal";"12224"
"Almelo";"Opgesteld vermogen van zonnepanelen";"kWp";"180318"
"Almelo";"Opgesteld vermogen omvormers";"kW";"143901"
"Almelo";"Productie van zonnestroom";"mln kWh";"."
"Almere";"Installaties";"aantal";"33293"
"Almere";"Opgesteld vermogen van zonnepanelen";"kWp";"231583"
"Almere";"Opgesteld vermogen omvormers";"kW";"210610"
"Almere";"Productie van zonnestroom";"mln kWh";"."
"Alphen aan den Rijn";"Installaties";"aantal";"20197"
"Alphen aan den Rijn";"Opgesteld vermogen van zonnepanelen";"kWp";"119506"
"Alphen aan den Rijn";"Opgesteld vermogen omvormers";"kW";"107180"
"Alphen aan den Rijn";"Productie van zonnestroom";"mln kWh";"."
"Alphen-Chaam";"Installaties";"aantal";"2092"
"Alphen-Chaam";"Opgesteld vermogen van zonnepanelen";"kWp";"23295"
"Alphen-Chaam";"Opgesteld vermogen omvormers";"kW";"20538"
"Alphen-Chaam";"Productie van zonnestroom";"mln kWh";"."
"Altena";"Installaties";"aantal";"10844"
"Altena";"Opgesteld vermogen van zonnepanelen";"kWp";"94230"
"Altena";"Opgesteld vermogen omvormers";"kW";"82448"
"Altena";"Productie van zonnestroom";"mln kWh";"."
"Ameland";"Installaties";"aantal";"989"
"Ameland";"Opgesteld vermogen van zonnepanelen";"kWp";"12159"
"Ameland";"Opgesteld vermogen omvormers";"kW";"11617"
"Ameland";"Productie van zonnestroom";"mln kWh";"."
"Amersfoort";"Installaties";"aantal";"29554"
"Amersfoort";"Opgesteld vermogen van zonnepanelen";"kWp";"144609"
"Amersfoort";"Opgesteld vermogen omvormers";"kW";"127081"
"Amersfoort";"Productie van zonnestroom";"mln kWh";"."
"Amstelveen";"Installaties";"aantal";"10042"
"Amstelveen";"Opgesteld vermogen van zonnepanelen";"kWp";"53079"
