"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector and asset class: All economic activity and housing"
"";"";"Subject"
"";"";"Installaties";"Opgesteld vermogen van zonnepanelen";"Productie van zonnestroom"
"Periods";"Regions";"number";"kW";"million kWh"
"2023 to Q2*";"Aa and Hunze";"6279";"44022";"."
"2023 to Q2*";"Aalsmeer";"5042";"49120";"."
"2023 to Q2*";"Aalten";"4833";"49166";"."
"2023 to Q2*";"Eight-cart games";"4869";"46609";"."
"2023 to Q2*";"Alblasserdam";"2366";"21634";"."
"2023 to Q2*";"Albrandswaard";"4212";"25010";"."
"2023 to Q2*";"Alkmaar";"16647";"87063";"."
"2023 to Q2*";"Almelo";"10179";"123162";"."
"2023 to Q2*";"Almere";"28558";"188208";"."
"2023 to Q2*";"Alphen aan den Rijn";"18200";"105799";"."
"2023 to Q2*";"Alphen-Chaam";"1830";"21433";"."
"2023 to Q2*";"Altena";"9494";"83097";"."
"2023 to Q2*";"Ameland";"824";"11213";"."
"2023 to Q2*";"Amersfoort";"25932";"129653";"."
"2023 to Q2*";"Amstelveen";"8468";"43498";"."
"2023 to Q2*";"Amsterdam";"38642";"245561";"."
"2023 to Q2*";"Apeldoorn";"28237";"189368";"."
"2023 to Q2*";"Appingedam";"";"";""
"2023 to Q2*";"Arnhem";"16748";"105692";"."
"2023 to Q2*";"shafts";"13457";"76199";"."
"2023 to Q2*";"Asten";"3382";"44972";"."
"2023 to Q2*";"Baarle-Nassau";"1107";"20841";"."
"2023 to Q2*";"Baarn";"3547";"15702";"."
"2023 to Q2*";"Barendrecht";"7990";"48522";"."
"2023 to Q2*";"Barneveld";"10228";"112150";"."
"2023 to Q2*";"Brook (L.)";"3523";"19734";"."
"2023 to Q2*";"Beekdaelen";"7766";"47325";"."
"2023 to Q2*";"Beemster";"";"";""
"2023 to Q2*";"Beesel";"2849";"16681";"."
"2023 to Q2*";"Mountain and valley";"5947";"33206";"."
"2023 to Q2*";"Bergeijk";"3769";"39937";"."
"2023 to Q2*";"Bergen (L.)";"2753";"20831";"."
"2023 to Q2*";"Bergen (NH.)";"6881";"33294";"."
"2023 to Q2*";"Bergen op Zoom";"11194";"71939";"."
"2023 to Q2*";"Berkelland";"8164";"93929";"."
"2023 to Q2*";"Bernheze";"6464";"65534";"."
"2023 to Q2*";"Best";"6355";"52038";"."
"2023 to Q2*";"Beuningen";"4842";"36366";"."
"2023 to Q2*";"Beverwijk";"5052";"21537";"."
"2023 to Q2*";"De Bilt";"5240";"28847";"."
"2023 to Q2*";"Bladel";"3962";"46472";"."
"2023 to Q2*";"Blaricum";"1639";"7523";"."
"2023 to Q2*";"Bloemendaal";"2427";"12268";"."
"2023 to Q2*";"Bodegraven-Reeuwijk";"6862";"43155";"."
"2023 to Q2*";"Boekel";"2274";"38760";"."
"2023 to Q2*";"Borger-Odoorn";"6212";"332911";"."
"2023 to Q2*";"Borne";"4879";"26578";"."
"2023 to Q2*";"Borsele";"5824";"125262";"."
"2023 to Q2*";"Boxmeer";"";"";""
"2023 to Q2*";"Boxtel";"5849";"41179";"."
"2023 to Q2*";"Breda";"19612";"169085";"."
"2023 to Q2*";"Brielle";"";"";""
"2023 to Q2*";"Bronckhorst";"7084";"65537";"."
"2023 to Q2*";"Brummen";"4704";"38611";"."
"2023 to Q2*";"Brunssum";"4206";"19106";"."
"2023 to Q2*";"Bunnik";"3358";"20803";"."
"2023 to Q2*";"Bunschoten";"3487";"33493";"."
"2023 to Q2*";"Neighbors";"5533";"48475";"."
"2023 to Q2*";"Capelle aan den IJssel";"5601";"27357";"."
"2023 to Q2*";"Castricum";"8090";"30734";"."
"2023 to Q2*";"Coevorden";"8452";"202593";"."
"2023 to Q2*";"Cranendonck";"4436";"82283";"."
"2023 to Q2*";"Cuijk";"";"";""
"2023 to Q2*";"Culemborg";"5348";"29874";"."
"2023 to Q2*";"Dalfsen";"6978";"54921";"."
"2023 to Q2*";"Dantumadiel";"4770";"25135";"."
"2023 to Q2*";"Delft";"8600";"37187";"."
"2023 to Q2*";"Delfzijl";"";"";""
"2023 to Q2*";"Deurne";"6168";"72779";"."
"2023 to Q2*";"Deventer";"14115";"107042";"."
"2023 to Q2*";"Diemen";"3200";"14696";"."
"2023 to Q2*";"Dike and Waard";"18643";"110766";"."
"2023 to Q2*";"Dinkelland";"5472";"59007";"."
"2023 to Q2*";"Doesburg";"1648";"8931";"."
"2023 to Q2*";"Doetinchem";"10736";"62813";"."
"2023 to Q2*";"Dongen";"4437";"39071";"."
"2023 to Q2*";"Dordrecht";"11485";"94001";"."
"2023 to Q2*";"Drechtland";"4614";"36186";"."
"2023 to Q2*";"Drimmel";"4400";"40867";"."
"2023 to Q2*";"Dronten";"9084";"316415";"."
"2023 to Q2*";"Druten";"3550";"56197";"."
"2023 to Q2*";"Pigeons";"4114";"34200";"."
"2023 to Q2*";"Echt-Susteren";"7102";"48727";"."
"2023 to Q2*";"Edam-Volendam";"5634";"30828";"."
"2023 to Q2*";"Ede";"17470";"148731";"."
"2023 to Q2*";"Eemnes";"2132";"15448";"."
"2023 to Q2*";"Eems delta";"10856";"126213";"."
"2023 to Q2*";"Eersel";"3983";"35049";"."
"2023 to Q2*";"Eijsden-Margraten";"5534";"37582";"."
"2023 to Q2*";"Eindhoven";"31564";"195373";"."
"2023 to Q2*";"Elburg";"4340";"26163";"."
"2023 to Q2*";"Emmen";"21052";"264465";"."
"2023 to Q2*";"Enkhuizen";"2379";"13986";"."
"2023 to Q2*";"Enschede";"18221";"146766";"."
"2023 to Q2*";"Epe";"5230";"40042";"."
