,Regio's,Perioden,Installaties (aantal),Opgesteld vermogen van zonnepanelen (kW)
0,Aa en Hunze,2023 tot en met Q2*,6279.0,44022.0
1,Aalsmeer,2023 tot en met Q2*,5042.0,49120.0
2,Aalten,2023 tot en met Q2*,4833.0,49166.0
3,Achtkarspelen,2023 tot en met Q2*,4869.0,46609.0
4,Alblasserdam,2023 tot en met Q2*,2366.0,21634.0
5,Albrandswaard,2023 tot en met Q2*,4212.0,25010.0
6,Alkmaar,2023 tot en met Q2*,16647.0,87063.0
7,Almelo,2023 tot en met Q2*,10179.0,123162.0
8,Almere,2023 tot en met Q2*,28558.0,188208.0
9,Alphen aan den Rijn,2023 tot en met Q2*,18200.0,105799.0
10,Alphen-Chaam,2023 tot en met Q2*,1830.0,21433.0
11,Altena,2023 tot en met Q2*,9494.0,83097.0
12,Ameland,2023 tot en met Q2*,824.0,11213.0
13,Amersfoort,2023 tot en met Q2*,25932.0,129653.0
14,Amstelveen,2023 tot en met Q2*,8468.0,43498.0
15,Amsterdam,2023 tot en met Q2*,38642.0,245561.0
16,Apeldoorn,2023 tot en met Q2*,28237.0,189368.0
17,Appingedam,2023 tot en met Q2*,,
18,Arnhem,2023 tot en met Q2*,16748.0,105692.0
19,Assen,2023 tot en met Q2*,13457.0,76199.0
20,Asten,2023 tot en met Q2*,3382.0,44972.0
21,Baarle-Nassau,2023 tot en met Q2*,1107.0,20841.0
22,Baarn,2023 tot en met Q2*,3547.0,15702.0
23,Barendrecht,2023 tot en met Q2*,7990.0,48522.0
24,Barneveld,2023 tot en met Q2*,10228.0,112150.0
25,Beek (L.),2023 tot en met Q2*,3523.0,19734.0
26,Beekdaelen,2023 tot en met Q2*,7766.0,47325.0
27,Beemster,2023 tot en met Q2*,,
28,Beesel,2023 tot en met Q2*,2849.0,16681.0
29,Berg en Dal,2023 tot en met Q2*,5947.0,33206.0
30,Bergeijk,2023 tot en met Q2*,3769.0,39937.0
31,Bergen (L.),2023 tot en met Q2*,2753.0,20831.0
32,Bergen (NH.),2023 tot en met Q2*,6881.0,33294.0
33,Bergen op Zoom,2023 tot en met Q2*,11194.0,71939.0
34,Berkelland,2023 tot en met Q2*,8164.0,93929.0
35,Bernheze,2023 tot en met Q2*,6464.0,65534.0
36,Best,2023 tot en met Q2*,6355.0,52038.0
37,Beuningen,2023 tot en met Q2*,4842.0,36366.0
38,Beverwijk,2023 tot en met Q2*,5052.0,21537.0
39,De Bilt,2023 tot en met Q2*,5240.0,28847.0
40,Bladel,2023 tot en met Q2*,3962.0,46472.0
41,Blaricum,2023 tot en met Q2*,1639.0,7523.0
42,Bloemendaal,2023 tot en met Q2*,2427.0,12268.0
43,Bodegraven-Reeuwijk,2023 tot en met Q2*,6862.0,43155.0
44,Boekel,2023 tot en met Q2*,2274.0,38760.0
45,Borger-Odoorn,2023 tot en met Q2*,6212.0,332911.0
46,Borne,2023 tot en met Q2*,4879.0,26578.0
47,Borsele,2023 tot en met Q2*,5824.0,125262.0
48,Boxmeer,2023 tot en met Q2*,,
49,Boxtel,2023 tot en met Q2*,5849.0,41179.0
50,Breda,2023 tot en met Q2*,19612.0,169085.0
51,Brielle,2023 tot en met Q2*,,
52,Bronckhorst,2023 tot en met Q2*,7084.0,65537.0
53,Brummen,2023 tot en met Q2*,4704.0,38611.0
54,Brunssum,2023 tot en met Q2*,4206.0,19106.0
55,Bunnik,2023 tot en met Q2*,3358.0,20803.0
56,Bunschoten,2023 tot en met Q2*,3487.0,33493.0
57,Buren,2023 tot en met Q2*,5533.0,48475.0
58,Capelle aan den IJssel,2023 tot en met Q2*,5601.0,27357.0
59,Castricum,2023 tot en met Q2*,8090.0,30734.0
60,Coevorden,2023 tot en met Q2*,8452.0,202593.0
61,Cranendonck,2023 tot en met Q2*,4436.0,82283.0
62,Cuijk,2023 tot en met Q2*,,
63,Culemborg,2023 tot en met Q2*,5348.0,29874.0
64,Dalfsen,2023 tot en met Q2*,6978.0,54921.0
65,Dantumadiel,2023 tot en met Q2*,4770.0,25135.0
66,Delft,2023 tot en met Q2*,8600.0,37187.0
67,Delfzijl,2023 tot en met Q2*,,
68,Deurne,2023 tot en met Q2*,6168.0,72779.0
69,Deventer,2023 tot en met Q2*,14115.0,107042.0
70,Diemen,2023 tot en met Q2*,3200.0,14696.0
71,Dijk en Waard,2023 tot en met Q2*,18643.0,110766.0
72,Dinkelland,2023 tot en met Q2*,5472.0,59007.0
73,Doesburg,2023 tot en met Q2*,1648.0,8931.0
74,Doetinchem,2023 tot en met Q2*,10736.0,62813.0
75,Dongen,2023 tot en met Q2*,4437.0,39071.0
76,Dordrecht,2023 tot en met Q2*,11485.0,94001.0
77,Drechterland,2023 tot en met Q2*,4614.0,36186.0
78,Drimmelen,2023 tot en met Q2*,4400.0,40867.0
79,Dronten,2023 tot en met Q2*,9084.0,316415.0
80,Druten,2023 tot en met Q2*,3550.0,56197.0
81,Duiven,2023 tot en met Q2*,4114.0,34200.0
82,Echt-Susteren,2023 tot en met Q2*,7102.0,48727.0
83,Edam-Volendam,2023 tot en met Q2*,5634.0,30828.0
84,Ede,2023 tot en met Q2*,17470.0,148731.0
85,Eemnes,2023 tot en met Q2*,2132.0,15448.0
86,Eemsdelta,2023 tot en met Q2*,10856.0,126213.0
87,Eersel,2023 tot en met Q2*,3983.0,35049.0
88,Eijsden-Margraten,2023 tot en met Q2*,5534.0,37582.0
89,Eindhoven,2023 tot en met Q2*,31564.0,195373.0
90,Elburg,2023 tot en met Q2*,4340.0,26163.0
91,Emmen,2023 tot en met Q2*,21052.0,264465.0
92,Enkhuizen,2023 tot en met Q2*,2379.0,13986.0
93,Enschede,2023 tot en met Q2*,18221.0,146766.0
94,Epe,2023 tot en met Q2*,5230.0,40042.0
95,Ermelo,2023 tot en met Q2*,4692.0,39104.0
96,Etten-Leur,2023 tot en met Q2*,6522.0,71046.0
97,De Fryske Marren,2023 tot en met Q2*,11996.0,93778.0
98,Geertruidenberg,2023 tot en met Q2*,3221.0,34423.0
99,Geldrop-Mierlo,2023 tot en met Q2*,7122.0,35402.0
100,Gemert-Bakel,2023 tot en met Q2*,6360.0,70626.0
101,Gennep,2023 tot en met Q2*,3449.0,43799.0
102,Gilze en Rijen,2023 tot en met Q2*,4099.0,35772.0
103,Goeree-Overflakkee,2023 tot en met Q2*,11981.0,179035.0
104,Goes,2023 tot en met Q2*,8609.0,52045.0
105,Goirle,2023 tot en met Q2*,3766.0,28177.0
106,Gooise Meren,2023 tot en met Q2*,5930.0,27885.0
107,Gorinchem,2023 tot en met Q2*,5301.0,31462.0
108,Gouda,2023 tot en met Q2*,8879.0,38317.0
109,Grave,2023 tot en met Q2*,,
110,'s-Gravenhage (gemeente),2023 tot en met Q2*,29646.0,128717.0
111,Groningen (gemeente),2023 tot en met Q2*,33873.0,224219.0
112,Gulpen-Wittem,2023 tot en met Q2*,2549.0,15424.0
113,Haaksbergen,2023 tot en met Q2*,4649.0,36034.0
114,Haaren,2023 tot en met Q2*,,
115,Haarlem,2023 tot en met Q2*,13878.0,57015.0
116,Haarlemmermeer,2023 tot en met Q2*,24152.0,188532.0
117,Halderberge,2023 tot en met Q2*,5507.0,57086.0
118,Hardenberg,2023 tot en met Q2*,11713.0,155518.0
119,Harderwijk,2023 tot en met Q2*,7235.0,47222.0
120,Hardinxveld-Giessendam,2023 tot en met Q2*,3709.0,20627.0
121,Harlingen,2023 tot en met Q2*,4153.0,25433.0
122,Hattem,2023 tot en met Q2*,1966.0,9933.0
123,Heemskerk,2023 tot en met Q2*,6033.0,26067.0
124,Heemstede,2023 tot en met Q2*,3522.0,15218.0
125,Heerde,2023 tot en met Q2*,3399.0,20694.0
126,Heerenveen,2023 tot en met Q2*,9570.0,106068.0
127,Heerhugowaard,2023 tot en met Q2*,,
